Supplier,Invoice Number,Invoice Date,Due Date,Account Number,Bill To,Item #,Product Code,Item Description,Qty,Unit,Unit Rate (£),VAT %,VAT Amount (£),Line Total (£)
T.Quality (Swansea Depot),76534,24/03/2026,14 days from invoice,CHO 202,Chocoberry Cardiff 1 Ltd - 205 City Road Cardiff CF24 3JD,1,SSC012,San Sebastian Cheesecake Quality,11,1x10,23.80,A - Zero,0.00,261.80
T.Quality (Swansea Depot),76534,24/03/2026,14 days from invoice,CHO 202,Chocoberry Cardiff 1 Ltd - 205 City Road Cardiff CF24 3JD,INVOICE TOTAL,,Goods Total £261.80 | VAT Total £0.00,,,,,,0.00
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154,Chocoberry - 205 City Road Cardiff CF24 3JR,1,40,2ltr Whole Milk,24,2ltr,1.3700,Z - Zero,0.00,32.88
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154,Chocoberry - 205 City Road Cardiff CF24 3JR,2,261,500g UHT Aerosol Cream,17,500g,3.7900,Z - Zero,0.00,64.43
Freshways (Nijjar Dairies Ltd),A8486779,21/03/2026,21/03/2026,63154,Chocoberry - 205 City Road Cardiff CF24 3JR,INVOICE TOTAL,,Invoice £97.31 | VAT £0.00 | Balance B/Forward £0.00 | Total Balance Owed £97.31,,,,,,0.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,1,,Whole Chicken 1.1 x12,1.00,Each,48.00,0.00,0.00,48.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,2,,Cut Two Joints Wings 2J,5.00,Each,3.20,0.00,0.00,16.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,3,,Chicken Breast,20.00,Each,5.40,0.00,0.00,108.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,4,,Sliced Cheese,2.00,Each,8.49,0.00,0.00,16.98
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,5,,Chicken Breast - BLACK Taken,20.00,Each,5.80,0.00,0.00,116.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,6,,Whole Chicken 1.1 x12 Taken,2.00,Each,48.00,0.00,0.00,96.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,7,,Sliced Cheese Taken,2.00,Each,8.49,0.00,0.00,16.98
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,8,,Chicken Leg Meat Taken,10.00,Each,4.20,0.00,0.00,42.00
Abdul's Poultry Limited,183591,16/03/2026,,A030,Ayra Foods Ltd - 199-203 City Road Cardiff CF24,INVOICE TOTAL,,Total Net Amount £459.96 | Carriage Net £0.00 | Total Tax Amount £0.00 | Invoice Total £459.96,,,,,0.00,459.96
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,1,,Sriracha Mayo,2.00,Each,1.99,0.00,0.00,3.98
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,2,,Ferrero Rocher,9.00,Each,7.99,20.00,11.99,71.91
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,3,,Cheese Slices Cheddar,5.00,Each,0.99,0.00,0.00,4.95
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,4,,Evaporated Milk,10.00,Each,0.55,0.00,0.00,5.50
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,5,,Condensed Milk,15.00,Each,0.85,0.00,0.00,12.75
Lidl (CAR-Cathays),LIDL-02042026-1,02/04/2026,02/04/2026,VAT: GB350396892,Chocoberry Cardiff,INVOICE TOTAL,,VAT A (0%) £27.18 | VAT B (20%) £71.91 | VAT £11.99 | Total £99.09,,,,,11.99,99.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,1,,Family Pack Mushrooms,1.00,Each,1.59,0.00,0.00,1.59
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,2,,Avocados,4.00,Each,1.35,0.00,0.00,5.40
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,3,,Medium Egg Noodles,3.00,Each,1.05,0.00,0.00,3.15
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,4,,Greek Feta Cheese,1.00,Each,2.09,0.00,0.00,2.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,5,,Limes Loose,8.00,Each,0.24,0.00,0.00,1.92
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,6,,Bananas,3.00,Each,0.78,0.00,0.00,2.34
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,7,,Breakfast Waffles,3.00,Each,0.65,0.00,0.00,1.95
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,8,,Mixed Leaf Salad,3.00,Each,0.95,0.00,0.00,2.85
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,9,,Cherry Tomatoes,1.00,Each,1.09,0.00,0.00,1.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,10,,Shallots,2.00,Each,1.09,0.00,0.00,2.18
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,11,,Spring Onions,1.00,Each,0.65,0.00,0.00,0.65
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,12,,Large Pack Coriander,1.00,Each,1.09,0.00,0.00,1.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,13,,Flat Leaf Parsley,1.00,Each,1.09,0.00,0.00,1.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,14,,Ready To Eat Mango,1.00,Each,1.65,0.00,0.00,1.65
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,15,,Peppers Mixed,3.00,Each,1.75,0.00,0.00,5.25
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,16,,Premium Blackberries,1.00,Each,2.09,0.00,0.00,2.09
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,17,,Raspberries,2.00,Each,1.99,0.00,0.00,3.98
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,18,,Red Chillies,1.00,Each,0.55,0.00,0.00,0.55
Lidl (CAR-Cathays),LIDL-01042026-2,01/04/2026,01/04/2026,VAT: GB350396892,Chocoberry Cardiff,INVOICE TOTAL,,VAT A (0%) £46.84 | VAT £0.00 | Total Discount £1.22 | Total £48.84,,,,,0.00,48.84
Best Fruit,117938,31/03/2026,31/03/2026,Till-2,Chocoberry Cardiff - 143 City Road Cardiff,1,,Fruit (Mixed/Assorted),299.00,Each,0.20,0.00,0.00,59.80
Best Fruit,117938,31/03/2026,31/03/2026,Till-2,Chocoberry Cardiff - 143 City Road Cardiff,INVOICE TOTAL,,Total £59.80 | Paid by Card £59.80,,,,,0.00,59.80
